Abbreviation,Fullname
A1AM,A1_AtomicMass
A1NN,A1_NumberofNeutrons
A1NP,A1_NumberofProtons
A1NE,A1_NumberofElectrons
A1P,A1_Period
A1AR,A1_AtomicRadius
A1E,A1_Electronegativity
A1FI,A1_FirstIonization
A1D,A1_Density
A1MP,A1_MeltingPoint
A1BP,A1_BoilingPoint
A1NOI,A1_NumberOfIsotopes
A1SH,A1_SpecificHeat
A1NS,A1_NumberofShells
A2AM,A2_AtomicMass
A2NN,A2_NumberofNeutrons
A2NP,A2_NumberofProtons
A2NE,A2_NumberofElectrons
A2P,A2_Period
A2AR,A2_AtomicRadius
A2E,A2_Electronegativity
A2FI,A2_FirstIonization
A2D,A2_Density
A2MP,A2_MeltingPoint
A2BP,A2_BoilingPoint
A2NOI,A2_NumberOfIsotopes
A2SH,A2_SpecificHeat
A2NS,A2_NumberofShells
A3AM,A3_AtomicMass
A3NN,A3_NumberofNeutrons
A3NP,A3_NumberofProtons
A3NE,A3_NumberofElectrons
A3P,A3_Period
A3AR,A3_AtomicRadius
A3E,A3_Electronegativity
A3FI,A3_FirstIonization
A3D,A3_Density
A3MP,A3_MeltingPoint
A3BP,A3_BoilingPoint
A3NOI,A3_NumberOfIsotopes
A3SH,A3_SpecificHeat
A3NS,A3_NumberofShells
A4AM,A4_AtomicMass
A4NN,A4_NumberofNeutrons
A4NP,A4_NumberofProtons
A4NE,A4_NumberofElectrons
A4P,A4_Period
A4AR,A4_AtomicRadius
A4E,A4_Electronegativity
A4FI,A4_FirstIonization
A4D,A4_Density
A4MP,A4_MeltingPoint
A4BP,A4_BoilingPoint
A4NOI,A4_NumberOfIsotopes
A4SH,A4_SpecificHeat
A4NS,A4_NumberofShells
BAM,B_AtomicMass
BNN,B_NumberofNeutrons
BNP,B_NumberofProtons
BNE,B_NumberofElectrons
BP,B_Period
BAR,B_AtomicRadius
BE,B_Electronegativity
BFI,B_FirstIonization
BD,B_Density
BMP,B_MeltingPoint
BBP,B_BoilingPoint
BNOI,B_NumberOfIsotopes
BSH,B_SpecificHeat
BNS,B_NumberofShells
X1AM,X1_AtomicMass
X1NN,X1_NumberofNeutrons
X1NP,X1_NumberofProtons
X1NE,X1_NumberofElectrons
X1P,X1_Period
X1AR,X1_AtomicRadius
X1E,X1_Electronegativity
X1FI,X1_FirstIonization
X1D,X1_Density
X1MP,X1_MeltingPoint
X1BP,X1_BoilingPoint
X1NOI,X1_NumberOfIsotopes
X1SH,X1_SpecificHeat
X1NS,X1_NumberofShells
X2AM,X2_AtomicMass
X2NN,X2_NumberofNeutrons
X2NP,X2_NumberofProtons
X2NE,X2_NumberofElectrons
X2P,X2_Period
X2AR,X2_AtomicRadius
X2E,X2_Electronegativity
X2FI,X2_FirstIonization
X2D,X2_Density
X2MP,X2_MeltingPoint
X2BP,X2_BoilingPoint
X2NOI,X2_NumberOfIsotopes
X2SH,X2_SpecificHeat
X2NS,X2_NumberofShells
X3AM,X3_AtomicMass
X3NN,X3_NumberofNeutrons
X3NP,X3_NumberofProtons
X3NE,X3_NumberofElectrons
X3P,X3_Period
X3AR,X3_AtomicRadius
X3E,X3_Electronegativity
X3FI,X3_FirstIonization
X3D,X3_Density
X3MP,X3_MeltingPoint
X3BP,X3_BoilingPoint
X3NOI,X3_NumberOfIsotopes
X3SH,X3_SpecificHeat
X3NS,X3_NumberofShells
X4AM,X4_AtomicMass
X4NN,X4_NumberofNeutrons
X4NP,X4_NumberofProtons
X4NE,X4_NumberofElectrons
X4P,X4_Period
X4AR,X4_AtomicRadius
X4E,X4_Electronegativity
X4FI,X4_FirstIonization
X4D,X4_Density
X4MP,X4_MeltingPoint
X4BP,X4_BoilingPoint
X4NOI,X4_NumberOfIsotopes
X4SH,X4_SpecificHeat
X4NS,X4_NumberofShells
X5AM,X5_AtomicMass
X5NN,X5_NumberofNeutrons
X5NP,X5_NumberofProtons
X5NE,X5_NumberofElectrons
X5P,X5_Period
X5AR,X5_AtomicRadius
X5E,X5_Electronegativity
X5FI,X5_FirstIonization
X5D,X5_Density
X5MP,X5_MeltingPoint
X5BP,X5_BoilingPoint
X5NOI,X5_NumberOfIsotopes
X5SH,X5_SpecificHeat
X5NS,X5_NumberofShells
X6AM,X6_AtomicMass
X6NN,X6_NumberofNeutrons
X6NP,X6_NumberofProtons
X6NE,X6_NumberofElectrons
X6P,X6_Period
X6AR,X6_AtomicRadius
X6E,X6_Electronegativity
X6FI,X6_FirstIonization
X6D,X6_Density
X6MP,X6_MeltingPoint
X6BP,X6_BoilingPoint
X6NOI,X6_NumberOfIsotopes
X6SH,X6_SpecificHeat
X6NS,X6_NumberofShells
solvent,solvent
homo,homo
lumo,lumo
