feature,score
X4AM,0.5728381886256881
X5AM,0.5663809864532796
X3AM,0.5200309384742642
X6AM,0.4814525380442624
X2AM,0.419869846187712
X1AM,0.27640897515406593
solvent,0.25845517548156827
BE,0.14332580760779431
BAM,0.10441598137292223
A1MP,0.0784201377259947
A3MP,0.0710849337757998
A1D,0.06042525091558988
A2MP,0.051729983693712796
A1AR,0.044285787790918345
A4MP,0.04198929238808402
A1NN,0.036617670079818
A3AM,0.018015651064226597
BFI,0.014278302482494934
A2AM,0.007790877110987428
A4AM,0.006852764432119184
