formula,correlation
A3AM^3,0.5340874249000178
A3AM^1,0.5381277369817181
A2AM^1,0.5496425852424193
A1AR^2+A3AM^3,0.5552094925578658
A2AM^1+A3AM^3,0.5849991540469108
A2AM^1-sqrt(sqrt(BAM^2)),0.6232920223495036
A2AM^1-log(sqrt(BAM^2)),0.6583774000163968
A3AM^1-log(sqrt(BAM^2)),0.6607063838225818
A3AM^1-BAM^2,0.6719956170094528
A3AM^1-sqrt(BAM^2)*BAM^2,0.6777081893702597
A3AM^1-(sqrt(BAM^2)+A1MP^1),0.7146947099393912
A3AM^1-(log(BAM^2)+A1MP^1),0.7344622783728385
A2AM^1-(BAM^2+A1MP^1+BE^2),0.7394927277868742
A3AM^1-(BAM^2+A1MP^1+BE^2),0.7533485262211148
A3AM^1-(BAM^3+A1MP^1+BFI^1),0.756286957546634
